name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;714;0;813;3071;945;3071;859;0
header;161;122;161;154;1780;154;1780;122
B;750;189;750;206;764;206;764;189
C;769;189;769;206;779;206;779;189
C;784;189;784;206;797;206;797;189
D;849;189;849;205;862;205;862;189
A;781;212;781;212;781;212;781;212
A;777;224;777;250;784;250;784;224
A;765;229;765;249;771;249;771;229
B;801;231;801;249;814;249;814;231
B;819;232;819;249;832;249;832;232
A;795;319;795;335;800;335;800;319
A;805;321;805;335;808;335;808;321
B;777;364;777;382;788;382;788;364
C;834;364;834;381;847;381;847;364
A;807;400;807;404;811;404;811;400
C;856;407;856;426;869;426;869;407
A;808;423;808;424;811;424;811;423
D;850;451;850;469;865;469;865;451
D;756;452;756;469;769;469;769;452
B;763;495;763;512;777;512;777;495
D;801;538;801;555;815;555;815;538
D;750;539;750;557;765;557;765;539
C;783;539;783;557;796;557;796;539
A;830;541;830;554;833;554;833;541
A;850;603;850;605;850;605;850;603
D;831;618;831;644;848;644;848;618
B;865;625;865;642;877;642;877;625
B;786;626;786;644;797;644;797;626
B;831;669;831;687;845;687;845;669
B;744;670;744;687;758;687;758;670
D;860;670;860;687;874;687;874;670
D;812;706;812;731;825;731;825;706
B;849;712;849;730;859;730;859;712
B;831;713;831;731;843;731;843;713
B;782;714;782;731;796;731;796;714
B;845;801;845;819;858;819;858;801
B;818;802;818;820;830;820;830;802
B;799;803;799;820;813;820;813;803
A;785;868;785;868;785;868;785;868
B;853;890;853;907;866;907;866;890
B;855;926;855;951;869;951;869;926
C;838;934;838;951;850;951;850;934
A;781;969;781;997;788;997;788;969
A;752;1042;752;1042;753;1042;753;1042
A;844;1043;844;1044;845;1044;845;1043
B;779;1064;779;1082;793;1082;793;1064
A;790;1109;790;1126;794;1126;794;1109
A;781;1110;781;1124;785;1124;785;1110
A;826;1132;826;1132;826;1132;826;1132
C;766;1143;766;1172;786;1172;786;1143
B;866;1153;866;1170;880;1170;880;1153
A;885;1155;885;1170;889;1170;889;1155
A;890;1233;890;1236;894;1236;894;1233
D;763;1285;763;1302;777;1302;777;1285
B;792;1285;792;1302;804;1302;804;1285
B;863;1285;863;1302;877;1302;877;1285
A;809;1321;809;1325;814;1325;814;1321
C;849;1329;849;1347;861;1347;861;1329
A;810;1330;810;1346;815;1346;815;1330
C;830;1373;830;1391;842;1391;842;1373
A;832;1495;832;1498;835;1498;835;1495
A;777;1538;777;1542;781;1542;781;1538
A;832;1570;832;1570;832;1570;832;1570
B;824;1590;824;1607;838;1607;838;1590
C;889;1632;889;1650;902;1650;902;1632
B;881;1678;881;1693;885;1693;885;1678
A;851;1712;851;1737;857;1737;857;1712
C;863;1800;863;1826;881;1826;881;1800
B;886;1800;886;1826;900;1826;900;1800
B;842;1852;842;1869;857;1869;857;1852
A;778;1887;778;1912;783;1912;783;1887
B;880;1895;880;1913;892;1913;892;1895
A;780;1931;780;1935;786;1935;786;1931
B;851;1932;851;1958;865;1958;865;1932
B;870;1939;870;1957;884;1957;884;1939
A;781;1940;781;1957;786;1957;786;1940
B;802;1976;802;2002;822;2002;822;1976
B;880;1984;880;2001;894;2001;894;1984
B;794;2026;794;2043;807;2043;807;2026
B;813;2026;813;2044;826;2044;826;2026
D;855;2070;855;2097;871;2097;871;2070
B;778;2071;778;2087;791;2087;791;2071
D;793;2125;793;2150;806;2150;806;2125
B;838;2126;838;2144;852;2144;852;2126
C;857;2126;857;2144;869;2144;869;2126
D;884;2127;884;2152;897;2152;897;2127
B;873;2162;873;2188;888;2188;888;2162
C;902;2214;902;2232;913;2232;913;2214
A;893;2215;893;2231;897;2231;897;2215
B;875;2258;875;2275;889;2275;889;2258
C;797;2345;797;2363;810;2363;810;2345
B;882;2346;882;2363;895;2363;895;2346
D;787;2389;787;2407;799;2407;799;2389
A;901;2567;901;2586;907;2586;907;2567
B;913;2569;913;2586;926;2586;926;2569
B;845;2713;845;2731;857;2731;857;2713
C;879;2713;879;2731;891;2731;891;2713
B;803;2846;803;2863;817;2863;817;2846
D;924;2846;924;2864;937;2864;937;2846
