name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1023;0;977;3075;1835;3075;1766;0
header;232;117;232;154;1856;154;1856;117
A;1026;183;1026;211;1049;211;1049;183
A;1309;418;1309;423;1314;423;1314;418
A;1308;684;1308;685;1308;685;1308;684
A;1282;736;1282;762;1297;762;1297;736
B;1024;860;1024;888;1047;888;1047;860
A;1376;1153;1376;1177;1390;1177;1390;1153
A;1597;1251;1597;1258;1603;1258;1603;1251
A;1495;1341;1495;1348;1503;1348;1503;1341
C;1016;1527;1016;1558;1037;1558;1037;1527
A;1547;1795;1547;1803;1553;1803;1553;1795
A;1515;1977;1515;1983;1522;1983;1522;1977
A;1221;2023;1221;2039;1229;2039;1229;2023
A;1455;2069;1455;2084;1463;2084;1463;2069
B;1225;2104;1225;2130;1238;2130;1238;2104
D;1009;2163;1009;2192;1033;2192;1033;2163
B;1721;2447;1721;2458;1729;2458;1729;2447
D;986;2517;986;2534;995;2534;995;2517
